Level,Depot,Vehicle,Unique_Edges,Unique_Distance_km,Total_Unique_Distance_km,Avg_Time_per_Vehicle_h,Avg_Distance_per_Vehicle_km
Vehicle,1,1,208,64.68423392798931,,,
Vehicle,1,2,289,109.49405702985597,,,
Vehicle,1,3,267,87.55052177756335,,,
Vehicle,1,4,288,88.48698671607676,,,
Vehicle,1,5,285,89.41969719573284,,,
Vehicle,1,6,306,93.28520782255535,,,
Depot,1,,1231,,360.64501793162447,0.7513437873575509,60.10750298860408
Vehicle,2,1,237,38.078413495151885,,,
Vehicle,2,2,181,34.438194329675824,,,
Vehicle,2,3,238,93.97603332623419,,,
Vehicle,2,4,251,73.2940220664192,,,
Vehicle,2,5,286,100.72329950084567,,,
Vehicle,2,6,201,91.18035302834977,,,
Depot,2,,1226,,374.1997874517566,0.7795828905244929,62.36663124195943
Vehicle,3,1,211,65.94120596646766,,,
Vehicle,3,2,245,87.4439293351394,,,
Vehicle,3,3,259,118.59278703311482,,,
Vehicle,3,4,266,136.0004659397366,,,
Vehicle,3,5,70,36.67650881445971,,,
Vehicle,3,6,1,0.03794555189279846,,,
Depot,3,,931,,385.71191803221075,0.8035664959004392,64.28531967203511
Vehicle,4,1,229,141.11539794440102,,,
Vehicle,4,2,266,165.84973827985212,,,
Vehicle,4,3,232,109.74241743035627,,,
Vehicle,4,4,266,116.36317014804196,,,
Vehicle,4,5,81,63.69612386942961,,,
Vehicle,4,6,6,2.255428337825171,,,
Depot,4,,914,,457.9860341403571,0.9541375711257439,76.33100569005953
Vehicle,5,1,228,36.61103130784731,,,
Vehicle,5,2,278,121.75063607272935,,,
Vehicle,5,3,123,46.75337147646459,,,
Vehicle,5,4,39,1.8078618430394746,,,
Vehicle,5,5,45,2.390128036851443,,,
Vehicle,5,6,53,2.2401821838162403,,,
Depot,5,,520,,192.69274550339577,0.40144321979874115,32.11545758389929
Vehicle,6,1,128,54.52115054314575,,,
Vehicle,6,2,41,6.032978208054375,,,
Vehicle,6,3,41,6.000814536475627,,,
Vehicle,6,4,40,5.185736759385955,,,
Vehicle,6,5,41,6.400572571970093,,,
Vehicle,6,6,54,11.770556084532007,,,
Depot,6,,142,,61.105969868291815,0.12730410389227462,10.184328311381968
Vehicle,7,1,304,157.78527782188544,,,
Vehicle,7,2,403,244.79098010711752,,,
Vehicle,7,3,395,166.91550515243512,,,
Vehicle,7,4,305,124.91557860848164,,,
Vehicle,7,5,391,201.6230214261797,,,
Vehicle,7,6,380,237.63920596100735,,,
Depot,7,,1559,,795.2365304695039,1.6567427718114665,132.53942174491732
Vehicle,8,1,298,218.29340096956557,,,
Vehicle,8,2,322,166.46788290651932,,,
Vehicle,8,3,333,133.3608250674934,,,
Vehicle,8,4,355,194.13619733219988,,,
Vehicle,8,5,52,29.84910150937506,,,
Vehicle,8,6,37,15.309590686445244,,,
Depot,8,,986,,558.6969439902683,1.1639519666463924,93.11615733171138
Vehicle,9,1,274,108.86845430579655,,,
Vehicle,9,2,330,162.7614868308917,,,
Vehicle,9,3,316,152.1186780175015,,,
Vehicle,9,4,256,75.74305390096599,,,
Vehicle,9,5,263,129.86004549714107,,,
Vehicle,9,6,256,82.90176926998294,,,
Depot,9,,1411,,556.9782911710148,1.1603714399396141,92.82971519516913
Vehicle,10,1,309,159.32128638627503,,,
Vehicle,10,2,306,128.37205105250158,,,
Vehicle,10,3,228,105.45182994005516,,,
Vehicle,10,4,187,47.46227702859051,,,
Vehicle,10,5,28,2.8767740866689344,,,
Vehicle,10,6,19,1.0848073687491733,,,
Depot,10,,870,,378.5279623118843,0.7885999214830923,63.08799371864739
Vehicle,11,1,293,182.11802894902496,,,
Vehicle,11,2,31,26.080850633206573,,,
Vehicle,11,3,33,22.823952577247294,,,
Vehicle,11,4,55,33.66245857648105,,,
Vehicle,11,5,69,52.40750754824043,,,
Vehicle,11,6,31,28.93274351536777,,,
Depot,11,,336,,201.1044064066019,0.41896751334708726,33.51740106776698
Vehicle,12,1,263,128.53572602594653,,,
Vehicle,12,2,349,203.25637071244432,,,
Vehicle,12,3,360,129.28848215838858,,,
Vehicle,12,4,258,118.14765943423123,,,
Vehicle,12,5,170,94.46952913411964,,,
Vehicle,12,6,182,114.9905425560133,,,
Depot,12,,1059,,459.0370165608853,0.9563271178351778,76.50616942681421
Vehicle,13,1,85,37.55065654010293,,,
Vehicle,13,2,1,0.006472587761687695,,,
Vehicle,13,3,1,0.006472587761687695,,,
Vehicle,13,4,1,0.006472587761687695,,,
Vehicle,13,5,1,0.006472587761687695,,,
Vehicle,13,6,1,0.006472587761687695,,,
Depot,13,,85,,37.55065654010293,0.07823053445854776,6.258442756683821
Vehicle,14,1,296,95.8463346671402,,,
Vehicle,14,2,118,64.17035492184971,,,
Vehicle,14,3,66,44.6318346408969,,,
Vehicle,14,4,79,45.65166670511333,,,
Vehicle,14,5,39,38.19588047007943,,,
Vehicle,14,6,35,33.10020333452233,,,
Depot,14,,409,,135.5586269155931,0.2824138060741523,22.593104485932184
Vehicle,15,1,245,108.9601940395612,,,
Vehicle,15,2,197,115.55407596380685,,,
Vehicle,15,3,51,34.88964151307905,,,
Vehicle,15,4,38,28.940213460886238,,,
Vehicle,15,5,52,38.58047375559021,,,
Vehicle,15,6,48,34.14017869917285,,,
Depot,15,,409,,195.8491888974905,0.40801914353643853,32.641531482915084
Vehicle,16,1,78,30.27385482553668,,,
Vehicle,16,2,65,6.917119837576943,,,
Vehicle,16,3,39,1.583987242957884,,,
Vehicle,16,4,86,15.91719704905504,,,
Vehicle,16,5,48,1.891876813048139,,,
Vehicle,16,6,61,4.487762190314166,,,
Depot,16,,131,,40.44910591873397,0.08426897066402911,6.741517653122329
Vehicle,17,1,171,43.9787419910883,,,
Vehicle,17,2,36,14.127843453614464,,,
Vehicle,17,3,43,32.22436670718723,,,
Vehicle,17,4,32,13.454321862344726,,,
Vehicle,17,5,8,6.110671045228545,,,
Vehicle,17,6,11,7.771254815058235,,,
Depot,17,,216,,77.36200384784334,0.16117084134967363,12.89366730797389
Vehicle,18,1,219,97.41253603925428,,,
Vehicle,18,2,111,54.92593957206567,,,
Vehicle,18,3,112,58.03989625300873,,,
Vehicle,18,4,107,51.51514767328405,,,
Vehicle,18,5,112,39.493299979793875,,,
Vehicle,18,6,119,41.018282506495446,,,
Depot,18,,290,,122.21523383121834,0.25461507048170484,20.36920563853639
Vehicle,19,1,242,124.35849268732639,,,
Vehicle,19,2,287,156.82867394625038,,,
Vehicle,19,3,304,132.17909118740755,,,
Vehicle,19,4,290,122.10098626348716,,,
Vehicle,19,5,319,90.81343211863543,,,
Vehicle,19,6,307,133.0921621920814,,,
Depot,19,,1412,,548.317035483774,1.1423271572578626,91.38617258062901
Vehicle,20,1,327,185.02730859361318,,,
Vehicle,20,2,313,203.2816243708003,,,
Vehicle,20,3,280,146.75028873443958,,,
Vehicle,20,4,321,174.9684621753399,,,
Vehicle,20,5,306,176.83327644511533,,,
Vehicle,20,6,222,63.52815128035328,,,
Depot,20,,1493,,765.0056441415365,1.5937617586282011,127.50094069025609
Vehicle,21,1,264,120.3657583076297,,,
Vehicle,21,2,285,140.26111533445754,,,
Vehicle,21,3,305,91.93170028774496,,,
Vehicle,21,4,289,122.41463273751796,,,
Vehicle,21,5,318,94.41079639969757,,,
Vehicle,21,6,316,99.74288860526347,,,
Depot,21,,1268,,477.5198640324677,0.9948330500676411,79.58664400541129
Vehicle,22,1,322,157.3917990477168,,,
Vehicle,22,2,339,129.58752976357178,,,
Vehicle,22,3,312,109.86534013354895,,,
Vehicle,22,4,328,92.92027550121966,,,
Vehicle,22,5,267,102.61996001122985,,,
Vehicle,22,6,257,105.233007104006,,,
Depot,22,,1297,,471.9428982916352,0.9832143714409065,78.65714971527252
Vehicle,23,1,348,136.60433572009524,,,
Vehicle,23,2,320,118.24399317798427,,,
Vehicle,23,3,401,141.21508595565376,,,
Vehicle,23,4,447,207.9788452452694,,,
Vehicle,23,5,384,187.77235055511147,,,
Vehicle,23,6,329,99.33059848309294,,,
Depot,23,,1534,,607.0920289074165,1.2647750602237844,101.18200481790275
Vehicle,24,1,262,92.59007679702785,,,
Vehicle,24,2,294,76.35683368542455,,,
Vehicle,24,3,29,5.875952239184324,,,
Vehicle,24,4,49,23.999803291595384,,,
Vehicle,24,5,47,13.946851103479666,,,
Vehicle,24,6,34,13.472747499454908,,,
Depot,24,,483,,148.91448235505135,0.31023850490635696,24.81908039250856
Vehicle,25,1,251,101.87390650599121,,,
Vehicle,25,2,363,108.5504721377039,,,
