Level,Depot,Vehicle,Unique_Edges,Unique_Distance_km,Total_Unique_Distance_km,Avg_Time_per_Vehicle_h,Avg_Distance_per_Vehicle_km
Vehicle,1,1,375,191.8758400349,,,
Vehicle,1,2,15,2.3215108466636596,,,
Vehicle,1,3,17,2.406171079763694,,,
Vehicle,1,4,31,12.307212529190949,,,
Vehicle,1,5,12,2.054996459282955,,,
Vehicle,1,6,22,5.178021116081494,,,
Depot,1,,378,,192.5157606236348,0.4010745012992392,32.08596010393913
Vehicle,2,1,670,347.66151115640736,,,
Vehicle,2,2,750,315.8453508796907,,,
Vehicle,2,3,630,302.0310185301142,,,
Vehicle,2,4,206,104.4536124863376,,,
Vehicle,2,5,152,65.06554805474575,,,
Vehicle,2,6,146,52.77031346577916,,,
Depot,2,,1961,,895.8141040142552,1.8662793833630318,149.30235066904254
Vehicle,3,1,729,240.49919140913408,,,
Vehicle,3,2,403,175.62581577967427,,,
Vehicle,3,3,145,66.60552797099244,,,
Vehicle,3,4,160,76.19956392205141,,,
Vehicle,3,5,105,44.86472618547229,,,
Vehicle,3,6,116,43.429861200978195,,,
Depot,3,,1103,,396.84283304041475,0.8267559021675307,66.14047217340244
Vehicle,4,1,333,252.61804190550686,,,
Vehicle,4,2,49,32.1873826182501,,,
Vehicle,4,3,46,17.337924770832064,,,
Vehicle,4,4,62,31.793305690826763,,,
Vehicle,4,5,46,16.099669118195557,,,
Vehicle,4,6,64,33.193906971453615,,,
Depot,4,,371,,297.9015136717793,0.6206281534828736,49.650252278629885
