Area,Depot Names,Address,Latitude,Longitude,Brown Salt Capacity,Depot Max Vehicle Capacity,Garaging Space,No. of routes,Operational?,Comments
1,Doublebois,"Doublebois Industrial Estate, Cornwall, PL14 6LE",50.454904,-4.539264,0,,0,0,N,
1,Notter Bridge,"Notter Bridge, Saltash, Cornwall, PL12 4RW",50.42709,-4.27606,720,,0,2,Y,
1,Pridhamsleigh,"Old Pridhamsleigh Quarry, Buckfastleigh, Devon, TQ13 7JJ",50.49072,-3.76641,1600,,4,2,Y,
1,Scorrier,"Radnor Road, Scorrier, Redruth, Cornwall, TR16 5EH",50.25181,-5.20269,1420,,0,3,Y,
1,Sowton,"Sowton Depot, Avocet Road, Sowton Industrial Estate, Exeter, EX2 7JF",50.72523,-3.46647,1450,,4,3,Y,
1,Tolpetherwin,"Launceston, Cornwall, PL15 7QN",50.6112,-4.4471,890,,0,3,Y,
2,Almondsbury,"Almondbury Depot, Gloucester Road, Almondsbury, S Gloucestershire, BS32 4AG",51.54789,-2.57018,3000,,8,7,Y,
2,Badbury,"Badbury Motorway Maintenance Depot, Plough Hill, Chisledon, Swindon, SN4 0HJ",51.52858,-1.72484,1600,,4,0,N,
2,Bamfurlong,"Bamfurlong Depot, Junction 11 – M5, Bamfurlong, Cheltenham, Gloucestershire, GL5 6SU",51.89062,-2.14892,1600,,6,3,Y,
2,Chelston,"Chelston Motorway Maintenance Depot, Wellington, Somerset, TA21 9PL",50.97201,-3.19015,1800,,6,3,Y,
2,Clevedon,"Motorway Maintenance Compound, Tickenham Road, Clevedon, North Somerset, BS21 6QX",51.44022,-2.82464,2200,,0,0,N,
2,Eastington,"Eastington Motorway Maintenance Depot, Fromebridge, Whitminster, Gloucester, GL12 7NJ",51.76041,-2.32518,2000,,0,0,N,
2,Edithmead,"Edithmead Motorway Maintenance Compound, Near Highbridge, Bridgewater, Somerset, TA19 9FF",51.23736,-2.94798,1800,,6,2,Y,
2,Falfield,"Motorway Maintenance Depot, Tortworth Road, Falfield, South Gloucestershire, GL12 8EE",51.63852,-2.45661,0,,0,0,N,
2,Huntworth,"Huntworth Motorway Maintenance Compound, Huntworth Gate, Bridgewater, Somerset, TA6 6LQ",51.10861,-2.99326,1700,,4,0,N,
2,Southfields,"Southfields Roundabout, Horton, Nr Ilminster, Somerset, TA19 9FF",50.93221,-2.93612,2000,,0,4,Y,
2,Stanton,"Stanton Motorway Maintenance Depot, Sutton Benger, Chippenham, SN14 6BD",51.51425,-2.11314,2100,,4,0,N,
2,Tormarton,"Tormarton Motorway Maintenance Depot, Dodington Ash, Chipping Sodbury, Bristol, BS37 6EJ",51.49991,-2.35084,2000,,6,5,Y,
2,Wylye,"VOSA Weighbridge Depot, Wylye, Wiltshire, BA12 0QF",51.13864,-1.99981,1500,,0,4,Y,
3,Bray Court,"M4 Junction 8/9, Priors Way, Windsor Road, Nr Maidenhead, Berkshire SL6 2HT",51.500084,-0.707305,2000,,,1,Y,
3,Chieveley,"M4 Junction 13, Oxford Road, Hermitage, Thatcham, Berkshire, RG18 9XX",51.45143,-1.308259,2000,,,4,Y,
3,Dummer,"M3 Junction 7, Dummer, Basingstoke, Hampshire, RG25 2AD",51.220372,-1.157317,2500,,,3,Y,
3,Easton Lane,"M3 Junction 9, Winnal, Winchester, Hampshire, SO23 7TY",51.072971,-1.293474,3600,,,2,Y,
3,Hook,"M3 Junction 5, Hook, Basingstoke, Hampshire, RG27 9DD",51.271686,-0.963642,5000,,,3,Y,
3,Longmoor,"MoD Training Camp, A3 Junction B3004, Liss, Hampshire, GU33 6EL",51.074296,-0.867102,1500,,,4,Y,
3,Ower,"M27 Junction 2, Ower, Southampton, Hampshire, SO51 8EB",50.9445,-1.528049,2000,,,4,Y,
3,ParkGate,"M27 Junctio 9, Park Gate, Hampshire PO15 6SA",50.876022,-1.253519,3500,,,3,Y,
3,Shefford Woodlands,"M4 Junction 14, Newtown, Hungerford, Berkshire RG17 0PY",51.45168,-1.482049,2200,,,2,Y,
3,Whitley Wood,"M4 Junction 11, 351 Whitely Wood Road, Reading, Berkshire, RG2 8FS",51.41518,-0.970876,2500,,,1,Y,
4,Coldharbour,"Coldharbour Depot, Little Preston, Aylesford, Kent, ME20 7NS",51.297538,0.485653,4500,,6,3,Y,
4,Farthing Corner,"Farthing Corner Depot, Medway Services Londonbound, Gillingham, Kent, ME8 8PG",51.340108,0.604767,3000,,6,5,Y,
4,Ford,"Ford Depot Wicks Farm, Yapton, Arendul, West Sussex, AN8 0HY",50.82311,-0.59747,630,,4,3,Y,
4,Marley Lane,"Marley Lane Depot, Battle, East Sussex, TN33 0RE",50.928975,0.524666,1200,,5,3,Y,
4,Polegate,"Polegate Depot, Polegate, East Sussex",50.821103,0.236661,1200,,4,2,Y,
4,Stanford,"Stanford Depot, Sandling, Hythe, Kent, CT214UX",51.094047,1.051409,6300,,6,4,Y,
4,Weatherhill,"Weatherhill Depot, Hathersham Close, Smallfields, Surrey, RH6 9JE",51.178079,-0.126395,4400,,6,4,Y,
6,Ardleigh Oaks,"Old Ipswich Road, Ardleigh, Colchester, CO7 7QR",51.927807,0.942997,2500,,0,6,Y,
6,Birchanger,"Start Hill, Dunmow Road, Birchanger, Bishops Stortford, CM22 7TA",51.873133,0.198728,3750,,6,4,Y,
6,Bury St Edmunds,Hollow Rd Farm Hollow Rd Bury Saint Edmunds IP31 1SJ,52.263119,0.728981,1800,,,,N,
6,Kings Lynn,"Saddlebow Road, King's Lynn, PE34 3AE",52.73348,0.39189,0,,4,3,Y,
6,SCC Lowestoft,"Mobbs Lane, Lowestoft",52.486226,1.716242,350,,1,1,Y,
6,SCC Mildenhall Depot,"Brandon Road A1065, Mildenhall",52.346547,0.538588,350,,2,2,Y,
6,Spooner Row,"London Road, Suton, Norfolk, NR18 9SS",52.537539,1.067243,2800,,6,4,Y,
6,Stilton,"North St, Stilton, Cambridgeshire, PE7 3RR",52.495984,-0.289914,750,,1,1,Y,
7,Felley,"Felley Motorway Compound, Mansfield Road, Annesley, Nottingham, NG15 0AS",53.064575,-1.25355,3000,,4,0,N,
7,Heath,"Heath Motorway Compound, Heath, Derbyshire, M1 J29",53.195323,-1.325815,4680,,5,4,Y,
7,Leicester Forest East,"M1 Mainteance Depot, Bains Lane, Leicester, Forest East, Leicestershire, LE3 3GB",52.61995076,-1.207700184,2700,,6,4,Y,
7,Misterton,"M1 Motorway Maintenance Depot, Swinford Road, Misterton, Lutterworth, Leicestershire, LE17 4HP",52.436763,-1.195413,3150,,6,4,Y,
7,Newark,"Stephenson's Way, Brunel Drive, Newark, Nottinghamshire, NG24 2TQ",53.088041,-0.7839,2070,,6,6,Y,
7,Pytchley,"Pegasus Court, Kettering, South Business Park, Kettering, Northampton, NN15 6XS",52.374333,-0.720235,3300,,6,4,Y,
7,Rothersthorpe,"M1 Motorway Maintenance Office, N/B Service Area, Junction 15a, Northampton, NN4 9QS",52.209239,-0.945667,2970,,5,4,Y,
7,Sandiacre,"Sandiacre Motorway Compound, Bostocks Lane, Sandiacre, Nottingham, NG10 5ND",52.91423,-1.29835,4320,,6,5,Y,
7,Shepshed,"M1 Motorway Maintenance Depot, Ashby Road, Shepshed, Loughborough, Leicestershire, LE12 9BU",52.761402,-1.275639,4500,,4,2,Y,
7,Watford Gap,"Watford Gap N/B Service Area, Watford Village, Northants, NN6 7UZ",52.30482,-1.121186,1500,,3,0,N,
8,Breakspear,"Green Lane, Hemel Hempstead, Hertfordshire, HP2 4UE",51.757162,-0.419039,3750,,6,3,Y,
8,Duxford (Whittlesford),"Station Road (East), Whittlesford, Cambridgeshire, CB22 4NL",52.105341,0.168478,4000,,6,5,Y,
